timestamp,equity
2025-07-14,100000.0
2025-07-15,100000.0
2025-07-16,100000.0
2025-07-17,100000.0
2025-07-18,100000.0
2025-07-21,100000.0
2025-07-22,100000.0
2025-07-23,100000.0
2025-07-24,100000.0
2025-07-25,100000.0
2025-07-28,100000.0
2025-07-29,100000.0
2025-07-30,100000.0
2025-07-31,100000.0
2025-08-01,100000.0
2025-08-04,100000.0
2025-08-05,100000.0
2025-08-06,100000.0
2025-08-07,100000.0
2025-08-08,100000.0
2025-08-11,100000.0
2025-08-12,100000.0
2025-08-13,100000.0
2025-08-14,100000.0
2025-08-15,100000.0
2025-08-18,100000.0
2025-08-19,100000.0
2025-08-20,100000.0
2025-08-21,100000.0
2025-08-22,100000.0
2025-08-25,100343.59913312831
2025-08-26,100271.8701351044
2025-08-27,100419.8464158501
2025-08-28,100158.8309084978
2025-08-29,100158.8309084978
2025-09-01,100155.52938482845
2025-09-02,100102.96605867159
2025-09-03,99861.36354616549
2025-09-04,99989.16303471231
2025-09-05,99762.41427656828
2025-09-08,99762.41427656828
2025-09-09,99762.41427656828
2025-09-10,99646.72414726052
2025-09-11,99983.6055079709
2025-09-12,99775.9859421179
2025-09-15,99775.9859421179
2025-09-16,99775.9859421179
2025-09-17,99819.19506740531
2025-09-18,100260.14127600656
2025-09-19,100519.35860765859
2025-09-22,100496.29781257379
2025-09-23,100614.98611133688
2025-09-24,100352.37549603163
2025-09-25,100352.37549603163
2025-09-26,100352.37549603163
2025-09-29,100352.37549603163
2025-09-30,100352.37549603163
2025-10-01,100352.37549603163
2025-10-02,100352.37549603163
2025-10-03,100352.37549603163
2025-10-06,100352.37549603163
2025-10-07,100352.37549603163
2025-10-08,100352.37549603163
2025-10-09,100352.37549603163
2025-10-10,100352.37549603163
2025-10-13,100352.37549603163
2025-10-14,100352.37549603163
2025-10-15,100352.37549603163
2025-10-16,100352.37549603163
2025-10-17,100352.37549603163
2025-10-20,100352.37549603163
2025-10-21,100352.37549603163
2025-10-22,100352.37549603163
2025-10-23,100352.37549603163
2025-10-24,100298.05650011466
2025-10-27,100298.05650011466
2025-10-28,100298.05650011466
2025-10-29,100539.85487480243
2025-10-30,100373.12589916654
2025-10-31,100373.12589916654
2025-11-03,100373.12589916654
2025-11-04,100373.12589916654
2025-11-05,100373.12589916654
2025-11-06,100373.12589916654
2025-11-07,100373.12589916654
2025-11-10,100373.12589916654
2025-11-11,100373.12589916654
2025-11-12,100373.12589916654
2025-11-13,100274.242428159
2025-11-14,100274.24242815899
2025-11-17,100291.16202721729
2025-11-18,100215.0896419853
2025-11-19,100215.0896419853
2025-11-20,100215.0896419853
2025-11-21,100215.0896419853
2025-11-24,100215.08964198528
2025-11-25,100178.31054125396
2025-11-26,99916.14945265517
2025-11-27,99916.14945265517
2025-11-28,100129.82154064643
2025-12-01,100218.93607491821
2025-12-02,100403.55583057101
2025-12-03,100492.65219815669
2025-12-04,99845.58622286923
2025-12-05,99845.58622286923
2025-12-08,99845.58622286923
2025-12-09,99845.58622286923
2025-12-10,100004.79345165429
2025-12-11,99920.9901171762
2025-12-12,99920.9901171762
2025-12-15,99920.9901171762
2025-12-16,99920.9901171762
2025-12-17,99943.65404015432
2025-12-18,99935.11467045895
2025-12-19,99935.11467045895
2025-12-22,100706.8269426039
2025-12-23,100770.64754385393
2025-12-24,100699.16339409132
2025-12-25,100699.16339409133
2025-12-26,100582.27527814786
2025-12-29,100582.27527814786
2025-12-30,100582.27527814786
2025-12-31,100582.27527814786
2026-01-01,100761.83175209619
2026-01-02,100644.31236453219
2026-01-05,100644.31236453219
2026-01-06,100141.1950415598
2026-01-07,100141.1950415598
2026-01-08,100141.1950415598
2026-01-09,100067.1972753704
2026-01-12,100067.1972753704
2026-01-13,100067.1972753704
2026-01-14,99767.1859642569
2026-01-15,99659.93404878856
2026-01-16,99680.72103279982
2026-01-19,99866.46513133125
2026-01-20,99504.84171272708
2026-01-21,99504.84171272708
2026-01-22,99504.84171272708
2026-01-23,99501.35002383067
2026-01-26,99501.35002383067
2026-01-27,99336.8317958752
2026-01-28,99336.8317958752
2026-01-29,99336.8317958752
2026-01-30,99336.8317958752
2026-02-02,99336.8317958752
2026-02-03,99336.8317958752
2026-02-04,99632.6558618257
2026-02-05,99728.3597036511
2026-02-06,99494.63208088708
2026-02-09,99494.63208088708
2026-02-10,99146.13108029142
2026-02-11,99146.13108029144
2026-02-12,99200.2205935347
2026-02-13,98581.09454121474
2026-02-16,98581.09454121474
2026-02-17,98581.09454121474
2026-02-18,98381.15727834507
2026-02-19,98381.15727834508
2026-02-20,98528.49998192655
2026-02-23,98699.27237681007
2026-02-24,98979.70815744488
2026-02-25,98833.65603184461
2026-02-26,98833.65603184461
2026-02-27,98833.65603184461
2026-03-02,98833.65603184461
2026-03-03,98833.65603184461
2026-03-04,98833.65603184461
2026-03-05,98833.65603184461
2026-03-06,98833.65603184461
2026-03-09,98833.65603184461
2026-03-10,98833.65603184461
2026-03-11,98833.65603184461
2026-03-12,99009.77192590332
2026-03-13,98866.41944207353
2026-03-16,98866.41944207353
2026-03-17,98713.0235169233
2026-03-18,98713.0235169233
2026-03-19,99187.56171305294
2026-03-20,99165.84159475143
2026-03-23,99165.84159475143
2026-03-24,99165.84159475143
2026-03-25,99165.84159475143
2026-03-26,99333.78145269147
2026-03-27,99481.58210862074
2026-03-30,99848.62518197772
2026-03-31,99943.03770579379
2026-04-01,99986.09507228177
2026-04-02,99994.48787770247
2026-04-03,100332.96715163521
2026-04-06,100417.49684550281
2026-04-07,100663.60312531967
2026-04-08,100460.67957967639
2026-04-09,100460.67957967639
2026-04-10,100249.11189965229
2026-04-13,100298.85289194273
2026-04-14,100473.10838127165
2026-04-15,100259.46922196425
2026-04-16,100139.84068952435
2026-04-17,100139.84068952435
2026-04-20,100234.75266010287
2026-04-21,100285.66159621825
2026-04-22,99934.46756597134
2026-04-23,100053.39518926611
2026-04-24,99690.30200304097
2026-04-27,99690.30200304097
2026-04-28,99690.30200304097
2026-04-29,99690.30200304097
2026-04-30,99690.30200304097
2026-05-01,99680.11900741493
2026-05-04,99680.11900741493
2026-05-05,99680.11900741493
2026-05-06,99571.48804096082
2026-05-07,99571.48804096082
2026-05-08,99689.77056275484
2026-05-11,99458.66610753967
2026-05-12,99494.01194915386
2026-05-13,99461.50098190458
2026-05-14,99461.50098190458
2026-05-15,99285.38191101782
2026-05-18,99285.38191101782
2026-05-19,99285.38191101782
2026-05-20,99285.38191101782
2026-05-21,99285.38191101782
2026-05-22,99285.38191101782
2026-05-25,99528.95241032283
2026-05-26,98977.67225158561
2026-05-27,98972.64518136917
2026-05-28,98972.64518136917
2026-05-29,98972.64518136917
2026-06-01,98972.64518136917
2026-06-02,98617.67873433951
2026-06-03,98617.67873433951
2026-06-04,98617.67873433951
2026-06-05,98617.67873433951
2026-06-08,98617.67873433951
2026-06-09,98617.67873433951
2026-06-10,98617.67873433951
2026-06-11,98617.67873433951
2026-06-12,98617.67873433951
2026-06-15,98617.67873433951
2026-06-16,98617.67873433951
2026-06-17,98617.67873433951
2026-06-18,98617.67873433951
2026-06-19,98617.67873433951
2026-06-22,98617.67873433951
2026-06-23,98617.67873433951
2026-06-24,98617.67873433951
2026-06-25,98617.67873433951
2026-06-26,98617.67873433951
2026-06-29,98617.67873433951
2026-06-30,98617.67873433951
2026-07-01,98617.67873433951
2026-07-02,98617.67873433951
2026-07-03,98755.56205000021
2026-07-06,98994.57477983955
2026-07-07,99094.3041724499
2026-07-08,98931.60914809868
2026-07-09,99000.44805647407
2026-07-10,98897.51600212496
