timestamp,symbol,quantity,entry_price,exit_price,pnl,reason
2025-12-03 05:00:00+00:00,AAPL,54.0,275.86,284.16,448.2000000000007,exit
2025-12-08 05:00:00+00:00,SPY,21.0,685.62,683.68,-40.7400000000016,exit
2025-12-11 05:00:00+00:00,QQQ,23.0,627.69,625.61,-47.840000000000146,exit
2025-12-12 05:00:00+00:00,SPY,21.0,687.59,681.8,-121.59000000000196,exit
2025-12-26 05:00:00+00:00,SPY,21.0,690.27,690.26,-0.21000000000094587,exit
2026-01-07 05:00:00+00:00,SPY,21.0,691.81,689.64,-45.56999999999789,exit
2026-01-13 05:00:00+00:00,SPY,21.0,694.005,693.71,-6.194999999999709,exit
2026-01-13 05:00:00+00:00,QQQ,23.0,627.19,626.105,-24.954999999999927,exit
2026-01-28 05:00:00+00:00,SPY,21.0,695.53,695.39,-2.9399999999986903,exit
2026-01-29 05:00:00+00:00,QQQ,23.0,631.055,629.36,-38.98499999999876,exit
2026-01-30 05:00:00+00:00,NVDA,78.0,191.52,191.13,-30.42000000000189,exit
2026-02-09 05:00:00+00:00,AAPL,53.0,278.11,274.5,-191.32999999999993,exit
2026-02-26 05:00:00+00:00,NVDA,77.0,192.865,184.86,-616.3850000000002,exit
2026-04-15 04:00:00+00:00,SPY,21.0,694.36,699.75,113.19000000000051,exit
2026-04-16 04:00:00+00:00,NVDA,76.0,196.5,198.26,133.7599999999984,exit
2026-04-16 04:00:00+00:00,AAPL,56.0,266.31,263.325,-167.16000000000167,exit
2026-04-20 04:00:00+00:00,QQQ,23.0,628.58,646.775,418.48499999999876,exit
2026-04-20 04:00:00+00:00,SPY,21.0,701.53,708.79,152.46000000000095,exit
2026-04-21 04:00:00+00:00,AAPL,55.0,270.205,266.16,-222.47499999999854,exit
2026-04-21 04:00:00+00:00,NVDA,74.0,202.12,199.82,-170.20000000000073,exit
2026-04-23 04:00:00+00:00,MSFT,35.0,424.03,415.715,-291.02499999999964,exit
2026-04-23 04:00:00+00:00,QQQ,22.0,655.085,651.4,-81.07000000000153,exit
2026-04-23 04:00:00+00:00,SPY,21.0,711.2,708.41,-58.590000000001965,exit
2026-04-24 04:00:00+00:00,AAPL,54.0,273.49,271.04,-132.29999999999927,exit
2026-04-28 04:00:00+00:00,QQQ,22.0,663.92,657.59,-139.2599999999984,exit
2026-04-28 04:00:00+00:00,NVDA,72.0,208.18,213.15,357.84000000000015,exit
2026-04-28 04:00:00+00:00,SPY,21.0,713.97,711.68,-48.090000000001965,exit
2026-05-04 04:00:00+00:00,QQQ,22.0,667.61,672.78,113.73999999999978,exit
2026-05-04 04:00:00+00:00,SPY,20.0,718.41,718.09,-6.399999999997817,exit
2026-05-04 04:00:00+00:00,AAPL,53.0,280.11,276.87,-171.71999999999935,exit
2026-05-07 04:00:00+00:00,QQQ,22.0,681.53,694.93,294.7999999999993,exit
2026-05-07 04:00:00+00:00,SPY,20.0,723.71,731.53,156.39999999999782,exit
2026-05-07 04:00:00+00:00,AAPL,52.0,284.18,287.4,167.4399999999987,exit
2026-05-11 04:00:00+00:00,AAPL,51.0,293.15,292.66,-24.989999999997963,exit
2026-05-12 04:00:00+00:00,QQQ,21.0,711.12,707.22,-81.89999999999964,exit
2026-05-12 04:00:00+00:00,SPY,20.0,737.54,738.19,13.000000000001819,exit
2026-05-13 04:00:00+00:00,NVDA,68.0,219.45,225.91,439.28000000000065,exit
2026-05-14 04:00:00+00:00,AAPL,50.0,294.72,298.25,176.49999999999818,exit
2026-05-15 04:00:00+00:00,QQQ,20.0,714.565,708.91,-113.10000000000218,exit
2026-05-15 04:00:00+00:00,SPY,20.0,742.3,739.1,-64.0,exit
2026-05-15 04:00:00+00:00,NVDA,63.0,235.78,225.305,-659.9249999999993,exit
2026-05-18 04:00:00+00:00,AAPL,49.0,300.19,297.85,-114.65999999999804,exit
2026-05-26 04:00:00+00:00,AAPL,49.0,302.2,308.33,300.3700000000008,exit
2026-05-27 04:00:00+00:00,QQQ,20.0,730.11,729.48,-12.600000000000364,exit
2026-05-29 04:00:00+00:00,AAPL,48.0,310.93,312.01,51.840000000000146,exit
2026-06-02 04:00:00+00:00,MSFT,33.0,449.44,441.35,-266.96999999999935,exit
2026-06-03 04:00:00+00:00,SPY,19.0,750.46,754.18,70.67999999999665,exit
2026-06-03 04:00:00+00:00,QQQ,20.0,735.64,744.205,171.3000000000011,exit
2026-06-03 04:00:00+00:00,AAPL,47.0,315.195,310.22,-233.8249999999971,exit
